fecha;hora;minuto;bebio;dinero_gastado
23/08/2018;0;0;0;0.0
24/08/2018;0;0;0;0.0
25/08/2018;0;0;0;0.0
26/08/2018;0;0;0;0.0
27/08/2018;0;0;0;0.0
28/08/2018;0;0;0;0.0
29/08/2018;20;5;1;10.0
30/08/2018;0;0;0;0.0
31/08/2018;0;0;0;0.0
01/09/2018;0;0;0;0.0
02/09/2018;0;0;0;0.0
03/09/2018;0;0;0;0.0
04/09/2018;19;14;1;5.0
05/09/2018;0;0;0;0.0
06/09/2018;0;0;0;0.0
07/09/2018;0;0;0;0.0
08/09/2018;0;0;0;0.0
09/09/2018;0;0;0;0.0
10/09/2018;0;0;0;0.0
11/09/2018;0;0;0;0.0
12/09/2018;0;0;0;0.0
13/09/2018;23;22;1;5.0
14/09/2018;0;0;0;0.0
15/09/2018;20;27;1;0.0
16/09/2018;0;0;0;0.0
17/09/2018;0;0;0;0.0
18/09/2018;0;0;0;0.0
19/09/2018;0;0;0;0.0
20/09/2018;0;0;0;0.0
21/09/2018;22;9;1;25.0
22/09/2018;22;11;1;0.0
23/09/2018;0;0;0;0.0
24/09/2018;0;0;0;0.0
25/09/2018;0;0;0;0.0
26/09/2018;0;0;0;0.0
27/09/2018;0;0;0;0.0
28/09/2018;22;32;1;10.0
29/09/2018;0;0;0;0.0
30/09/2018;0;0;0;0.0
01/10/2018;0;0;0;0.0
02/10/2018;0;0;0;0.0
03/10/2018;0;0;0;0.0
04/10/2018;0;0;0;0.0
05/10/2018;0;0;0;0.0
06/10/2018;0;0;0;0.0
07/10/2018;23;57;1;5.0
08/10/2018;0;0;0;0.0
09/10/2018;0;0;0;0.0
10/10/2018;0;0;0;0.0
11/10/2018;0;0;0;0.0
12/10/2018;22;31;1;0.0
13/10/2018;0;0;0;0.0
14/10/2018;0;7;1;0.0
15/10/2018;0;0;0;0.0
16/10/2018;0;0;0;0.0
17/10/2018;0;0;0;0.0
18/10/2018;0;0;0;0.0
19/10/2018;0;0;0;0.0
20/10/2018;0;0;0;0.0
21/10/2018;22;5;1;3.0
22/10/2018;0;0;0;0.0
23/10/2018;0;0;0;0.0
24/10/2018;0;0;0;0.0
25/10/2018;0;0;0;0.0
26/10/2018;23;14;1;5.0
27/10/2018;0;0;0;0.0
28/10/2018;0;0;0;0.0
29/10/2018;20;58;1;15.0
30/10/2018;0;0;0;0.0
31/10/2018;0;0;0;0.0
01/11/2018;0;0;0;0.0
02/11/2018;0;0;0;0.0
03/11/2018;0;0;0;0.0
04/11/2018;0;0;0;0.0
05/11/2018;0;0;0;0.0
06/11/2018;0;0;0;0.0
07/11/2018;0;0;0;0.0
08/11/2018;0;0;0;0.0
09/11/2018;0;0;0;0.0
10/11/2018;21;46;1;3.0
11/11/2018;0;0;0;0.0
12/11/2018;0;0;0;0.0
13/11/2018;0;0;0;0.0
14/11/2018;0;0;0;0.0
15/11/2018;22;5;1;1.0
16/11/2018;22;40;1;0.0
17/11/2018;0;0;0;0.0
18/11/2018;0;0;0;0.0
19/11/2018;0;0;0;0.0
20/11/2018;20;56;1;2.0
21/11/2018;0;0;0;0.0
22/11/2018;0;0;0;0.0
23/11/2018;0;0;0;0.0
24/11/2018;23;17;1;3.0
25/11/2018;0;0;0;0.0
26/11/2018;0;0;0;0.0
27/11/2018;0;0;0;0.0
28/11/2018;0;0;0;0.0
29/11/2018;0;0;0;0.0
30/11/2018;23;47;1;3.0
01/12/2018;0;0;0;0.0
